제목,작가,날짜,링크,유료,성인,미리보기,카테고리,장르,키워드,공,수,엔딩,AI제안장르,AI제안키워드,AI제안공,AI제안수,AI제안엔딩,요약,본문추출,AI원본응답,AI신뢰도,AI처리일시,정리메모,시리즈,시리즈명,시리즈회차,연재상태,상태근거,시리즈열통일,시리즈열통일메모,장르키워드5개제한,장르키워드5개제한메모
햇살이 온다 8,220,2026-05-18,https://www.postype.com/@220thenight/post/22275164,X,X,220 2026. 5. 18.  ·  이 별에서 너가 가장 특별해 햇살이 온다 8 청게 혚쾌 29. 결국 보내기 버튼을 누르고 무음으로 바꾼 후 바로 화면을 껐다. 주머니에 넣으면,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,,,,,,청게(청춘학원물) 장르의 소설 작품,미리보기 내 '청게' 단어 명시,"{""category"":""글"",""genres"":[""청게"",""학원물""],""keywords"":[""학원물""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""청게(청춘학원물) 장르의 소설 작품"",""evidence"":""미리보기 내 '청게' 단어 명시"",""confidence"":0.85,""note"":""미리보기에 장르가 '청게'로 명시되어 있어 학원물 및 청게로 분류함""}",0.85,2026-06-14 20:20,,Y,햇살이 온다,8,완결,완결표기,Y,"장르: 청게, 학원물 -> 청게, 학원물, 현대물 / 키워드: 학원물 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: (빈칸) -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: (빈칸) -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
2026학년도 서북여자고등학교 교내연애 운영 현황 보고,이오,2026-05-15,https://www.postype.com/@92x954ever/post/22063131,X,X,이오 2026. 5. 15.  ·  때를 놓친 사랑은 재난일 뿐이다 2026학년도 서북여자고등학교 교내연애 운영 현황 보고 교내연애절대금지 外 일 년 중 가장 더울 때 시작한 승협,글,"학원물, 청게","학원물, 첫사랑",,,,,팬픽,,,,여자고등학교를 배경으로 펼쳐지는 청춘 학원물 소설,"서북여자고등학교, 교내연애, 때를 놓친 사랑 등의 문구","{""category"":""글"",""genres"":[""학원물"",""청게""],""keywords"":[""학원물"",""첫사랑""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""팬픽""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""여자고등학교를 배경으로 펼쳐지는 청춘 학원물 소설"",""evidence"":""서북여자고등학교, 교내연애, 때를 놓친 사랑 등의 문구"",""confidence"":0.8,""note"":""등장인물 이름(승협)으로 보아 팬픽션(RPS)으로 추정되며, 고등학교 배경의 학원물 장르입니다.""}",0.8,2026-06-14 20:20,,,,,,,,,,
세기말혚쾌 12,시공간,2026-05-15,https://www.postype.com/@nightflight01/post/22281500,X,X,"시공간 2026. 5. 15.  ·  야간비행 세기말혚쾌 12 2000년 12월 24일, 보육원은 혚의 부모님이 보낸 화려한 케이터링과 선물 꾸러미들로 북적였다. 아이들은 신이 나",글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,"보육원, 세기말",,,,2000년 12월 보육원을 배경으로 전개되는 이야기,"2000년 12월 24일, 보육원은 혚의 부모님이 보낸","{""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""보육원"",""세기말""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""2000년 12월 보육원을 배경으로 전개되는 이야기"",""evidence"":""2000년 12월 24일, 보육원은 혚의 부모님이 보낸"",""confidence"":0.5,""note"":""제공된 텍스트가 매우 짧아 구체적인 인물 관계나 키워드 파악이 어렵습니다.""}",0.5,2026-06-14 20:20,,Y,세기말혚쾌,12,연재중,숫자회차,Y,"장르: 현대물 -> 현대물, 학원물, 청게, 시대물 / 키워드: (빈칸) -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: (빈칸) -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공 / 수: (빈칸) -> 상처수, 단정수",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
세기말혚쾌 11,시공간,2026-05-15,https://www.postype.com/@nightflight01/post/22281494,X,X,시공간 2026. 5. 15.  ·  야간비행 세기말혚쾌 11 어느덧 찬 바람이 코끝을 스치는 11월의 어느 오후였다. 영화 동아리실의 낡은 소파에 푹 파묻혀 있던 쾌는 갑자기 머,글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,,,,,세기말을 배경으로 한 고등학교 영화 동아리 혚과 쾌의 청춘 이야기,영화 동아리실의 낡은 소파에 푹 파묻혀 있던 쾌,"{""id"":""19"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""첫사랑"",""학원물""],""top"":[""계략공"",""다정공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""세기말을 배경으로 한 고등학교 영화 동아리 혚과 쾌의 청춘 이야기"",""evidence"":""영화 동아리실의 낡은 소파에 푹 파묻혀 있던 쾌"",""confidence"":0.9,""note"":""세기말혚쾌 시리즈 11편""}",0.9,2026-06-14 20:44,,Y,세기말혚쾌,11,연재중,숫자회차,Y,"장르: 현대물, 학원물, 청게 -> 현대물, 학원물, 청게, 시대물 / 키워드: 첫사랑, 학원물 -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: 계략공, 다정공 -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공 / 수: 상처수 -> 상처수, 단정수",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
세기말혚쾌 10,시공간,2026-05-15,https://www.postype.com/@nightflight01/post/22281491,X,X,시공간 2026. 5. 15.  ·  야간비행 세기말혚쾌 10 9월의 열기가 가득한 용산 전자상가. 혚은 복잡하게 얽힌 전선 냄새와 웅웅거리는 냉각팬 소음 사이를 거침없이 걸어갔다,글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,,,,,서로를 배려하며 미래를 준비하는 고등학생 혚과 쾌의 애틋한 사랑과 갈등,"보육원의 낡은 침대, 최고 사양의 작업 환경을 선물하려는 혚의 눈물겨운 꼼수","{""id"":""20"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""첫사랑"",""동거"",""상처"",""학원물""],""top"":[""계략공"",""다정공"",""재벌공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""서로를 배려하며 미래를 준비하는 고등학생 혚과 쾌의 애틋한 사랑과 갈등"",""evidence"":""보육원의 낡은 침대, 최고 사양의 작업 환경을 선물하려는 혚의 눈물겨운 꼼수"",""confidence"":0.95,""note"":""세기말혚쾌 시리즈 10편""}",0.95,2026-06-14 20:44,,Y,세기말혚쾌,10,연재중,숫자회차,Y,"장르: 현대물, 학원물, 청게 -> 현대물, 학원물, 청게, 시대물 / 키워드: 첫사랑, 동거, 상처, 학원물 -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: 계략공, 다정공, 재벌공 -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공 / 수: 상처수 -> 상처수, 단정수",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
햇살이 온다 7,220,2026-05-13,https://www.postype.com/@220thenight/post/22254635,X,X,220 2026. 5. 13.  ·  이 별에서 너가 가장 특별해 햇살이 온다 7 청게 혚쾌 26. 문을 열자 엄마는 소파에 앉아 있었다. 조금 전까지 선명하게 들리던 앵커의 목소,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,,,,,,"청게 장르의 소설로, 주인공이 집으로 돌아와 엄마를 마주하는 장면이 그려짐",미리보기 텍스트 중 '청게' 언급 및 '문을 열자 엄마는 소파에 앉아 있었다' 문구,"{""category"":""글"",""genres"":[""청게""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""청게 장르의 소설로, 주인공이 집으로 돌아와 엄마를 마주하는 장면이 그려짐"",""evidence"":""미리보기 텍스트 중 '청게' 언급 및 '문을 열자 엄마는 소파에 앉아 있었다' 문구"",""confidence"":0.8,""note"":""미리보기에 명시된 '청게' 키워드를 바탕으로 장르를 분류하였으나, 구체적인 캐릭터 성향이나 결말 정보는 부족함""}",0.8,2026-06-14 20:20,,Y,햇살이 온다,7,완결,완결표기,Y,"장르: 청게 -> 청게, 학원물, 현대물 / 키워드: (빈칸) -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: (빈칸) -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: (빈칸) -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
혚쾌 속궁합타로,달,2026-05-11,https://www.postype.com/@rosemoon04/post/22255605,O,O,달 2026. 5. 11.  ·  타로 그 너머의 문 구독 혚쾌 속궁합타로 ◇본 리딩은 카드 해석을 기반으로 관계의 심리와 텐션을 중심적으로 풀어낸 내용입니다. ◇실제 인물의 성향,기타,,타로,,,,,"타로, 속궁합",,,,혚쾌 커플의 속궁합 타로 리딩 글,혚쾌 속궁합타로 본 리딩은 카드 해석을 기반으로,"{""id"":""2"",""category"":""글"",""genres"":[],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""타로"",""속궁합""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""혚쾌 커플의 속궁합 타로 리딩 글"",""evidence"":""혚쾌 속궁합타로 본 리딩은 카드 해석을 기반으로"",""confidence"":0.9,""note"":""타로 리딩 콘텐츠""}",0.9,2026-06-14 22:25,,,,,,,,,,
외과의사 승협×군인 회승,220,2026-05-11,https://www.postype.com/@220thenight/post/22257536,X,X,220 2026. 5. 11.  ·  이 별에서 너가 가장 특별해 외과의사 승협×군인 회승 * 전쟁중인 가상국가 배경 / 야전병원 외과의사 승협×정찰부대 소속군인 회승 * 엑스에 ,글,"군부물, 판타지, 피폐물, 메디컬물","죽음, 상실, 피폐, 상처","무심공, 상처공","강수, 다정수, 상처수","새드엔딩, 사망",메디컬물,,,,,전쟁 중인 가상 국가의 야전병원 의사 승협과 군인 회승의 비극적인 사랑,"전쟁중인 가상국가 배경 / 야전병원 외과의사 승협×정찰부대 소속군인 회승, 비극. 결말주의.","{""id"":""22"",""category"":""글"",""genres"":[""군부물"",""판타지"",""피폐물""],""keywords"":[""죽음"",""상실"",""피폐"",""상처""],""top"":[""무심공"",""상처공""],""bottom"":[""강수"",""다정수"",""상처수""],""ending"":[""새드엔딩"",""사망""],""suggested_genres"":[""메디컬물""],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""전쟁 중인 가상 국가의 야전병원 의사 승협과 군인 회승의 비극적인 사랑"",""evidence"":""전쟁중인 가상국가 배경 / 야전병원 외과의사 승협×정찰부대 소속군인 회승, 비극. 결말주의."",""confidence"":0.95,""note"":""전쟁 배경의 아련하고 비극적인 서사""}",0.95,2026-06-14 20:44,genre: 메디컬물,,,,,,,,,
[혚쾌] Sober 中,HE,2026-05-09,https://www.postype.com/@sober-sz/post/22213285,X,X,"HE 2026. 5. 9.  ·  sober [혚쾌] Sober 中 이승협 유회승 ""어, 회승아. 먼저 와 있었네?"" 누나의 등장으로 인해 길게 이어지던 눈싸움이 멎고, 악수를 가",글,피폐물,"비밀연애, 상처, 오해, 원나잇, 질투","집착공, 능글공","상처수, 후회수",,,"삼각관계, 치정물, 배덕감",,,,누나의 남자친구가 자신과 하룻밤을 보냈던 승협임을 알게 된 회승의 갈등,누나는... 곁에 선 남자를 자신의 남자친구라고 내게 소개했다... 내 앞에 있는 남자는 내가 이전에 만났던 그 사람이 맞았다.,"{""id"":""23"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""비밀연애"",""상처"",""오해"",""원나잇"",""질투""],""top"":[""집착공"",""능글공""],""bottom"":[""상처수"",""후회수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""삼각관계"",""치정물"",""배덕감""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""누나의 남자친구가 자신과 하룻밤을 보냈던 승협임을 알게 된 회승의 갈등"",""evidence"":""누나는... 곁에 선 남자를 자신의 남자친구라고 내게 소개했다... 내 앞에 있는 남자는 내가 이전에 만났던 그 사람이 맞았다."",""confidence"":0.95,""note"":""관계의 배덕감과 갈등이 중심인 현대물""}",0.95,2026-06-14 20:44,keyword: 삼각관계,Y,Sober,中,완결,하편표기,,,Y,"장르 현대물 제거: 현대물, 피폐물 -> 피폐물 / 키워드 5개 제한: 비밀연애, 상처, 오해, 원나잇, 질투, 삼각관계 -> 비밀연애, 상처, 오해, 원나잇, 질투"
햇살이 온다 6,220,2026-05-09,https://www.postype.com/@220thenight/post/22240173,X,X,220 2026. 5. 9.  ·  이 별에서 너가 가장 특별해 햇살이 온다 6 청게 혚쾌 22. 그 다음 날 점심은 정말 돈가스였다. 아침부터 이상하게 그 사실이 신경 쓰였다. ,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,,,,,,가정 환경으로 상처받은 회승이 승협과의 소소한 점심 식사를 통해 위로받는 청게물,"청게 혚쾌, 엄마 요즘 진짜 힘들어... 돈 좀 있어?, 승협은 맞은편에 있었다.","{""id"":""24"",""category"":""글"",""genres"":[""청게"",""학원물"",""현대물""],""keywords"":[""첫사랑"",""상처"",""잔잔물"",""달달물""],""top"":[""다정공""],""bottom"":[""상처수"",""까칠수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""가정 환경으로 상처받은 회승이 승협과의 소소한 점심 식사를 통해 위로받는 청게물"",""evidence"":""청게 혚쾌, 엄마 요즘 진짜 힘들어... 돈 좀 있어?, 승협은 맞은편에 있었다."",""confidence"":0.95,""note"":""햇살이 온다 시리즈 6편""}",0.95,2026-06-14 20:44,,Y,햇살이 온다,6,완결,완결표기,Y,"키워드: 첫사랑, 상처, 잔잔물, 달달물 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: 다정공 -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: 상처수, 까칠수 -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
세기말혚쾌 9,시공간,2026-05-07,https://www.postype.com/@nightflight01/post/22229362,X,X,"시공간 2026. 5. 7.  ·  야간비행 세기말혚쾌 9 혚은 경영학과 합격 통지서를 받아든 순간, 그 종이를 부모님 앞에 내밀며 가장 효율적인 협상을 시작했다. 부모님의 기세는",글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,,,,,대학 합격 후 갈 곳 없는 쾌를 위해 혚이 마포 오피스텔을 얻어 동거를 제안하는 이야기,"우리 같이 살 집이야, 여기가., 일종의 계약이지.","{""id"":""25"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""첫사랑"",""동거"",""계약"",""상처""],""top"":[""계략공"",""다정공"",""재벌공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""대학 합격 후 갈 곳 없는 쾌를 위해 혚이 마포 오피스텔을 얻어 동거를 제안하는 이야기"",""evidence"":""우리 같이 살 집이야, 여기가., 일종의 계약이지."",""confidence"":0.95,""note"":""세기말혚쾌 시리즈 9편""}",0.95,2026-06-14 20:44,,Y,세기말혚쾌,9,연재중,숫자회차,Y,"장르: 현대물, 학원물, 청게 -> 현대물, 학원물, 청게, 시대물 / 키워드: 첫사랑, 동거, 계약, 상처 -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: 계략공, 다정공, 재벌공 -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공 / 수: 상처수 -> 상처수, 단정수",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
세기말혚쾌8,시공간,2026-05-07,https://www.postype.com/@nightflight01/post/22227053,X,X,시공간 2026. 5. 7.  ·  야간비행 세기말혚쾌8 수시모집기간이 다가왔다. 쾌는 떨리는 손으로 수시 1차 원서 세 장을 채워 나갔다. 실버링을 낀 손가락에 힘을 주며 쾌는 ,글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,,,,,수시 면접을 준비하는 쾌와 그를 위해 몰래 미래를 설계하며 여행을 떠나는 혚의 이야기,"수시모집기간이 다가왔다., 혚의 연습장에는 [아파트 가구 배치도]가 정교하게 그려지고 있었다.","{""id"":""26"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""첫사랑"",""상처"",""학원물""],""top"":[""계략공"",""다정공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""수시 면접을 준비하는 쾌와 그를 위해 몰래 미래를 설계하며 여행을 떠나는 혚의 이야기"",""evidence"":""수시모집기간이 다가왔다., 혚의 연습장에는 [아파트 가구 배치도]가 정교하게 그려지고 있었다."",""confidence"":0.95,""note"":""세기말혚쾌 시리즈 8편""}",0.95,2026-06-14 20:44,,Y,세기말혚쾌,8,연재중,숫자회차,Y,"장르: 현대물, 학원물, 청게 -> 현대물, 학원물, 청게, 시대물 / 키워드: 첫사랑, 상처, 학원물 -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: 계략공, 다정공 -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공 / 수: 상처수 -> 상처수, 단정수",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
세기말혚쾌 7,시공간,2026-05-07,https://www.postype.com/@nightflight01/post/22227052,X,X,"시공간 2026. 5. 7.  ·  야간비행 세기말혚쾌 7 작년 가을, 찬 바람이 불기 시작할 무렵 혚의 초대로 처음 이 2층집 대문을 넘어섰을 때만 해도 쾌는 모든 게 조심스러웠",글,"학원물, 청게, 시대물","첫사랑, 학원물, 동거, 상처, 계약","계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공","상처수, 단정수",,,,,,,연인이 된 후 혚의 방에서 함께 영화를 보며 첫 키스를 나누는 혚과 쾌,"사귀고 나서 다시 오니까 기분 진짜 이상하네., 입술이 맞물리는 순간","{""id"":""27"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""첫사랑"",""달달물"",""학원물""],""top"":[""다정공"",""능글공""],""bottom"":[""상처수"",""단정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""연인이 된 후 혚의 방에서 함께 영화를 보며 첫 키스를 나누는 혚과 쾌"",""evidence"":""사귀고 나서 다시 오니까 기분 진짜 이상하네., 입술이 맞물리는 순간"",""confidence"":0.95,""note"":""세기말혚쾌 시리즈 7편""}",0.95,2026-06-14 20:44,,Y,세기말혚쾌,7,연재중,숫자회차,Y,"장르: 현대물, 학원물, 청게 -> 현대물, 학원물, 청게, 시대물 / 키워드: 첫사랑, 달달물, 학원물 -> 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 / 공: 다정공, 능글공 -> 계략공, 다정공, 재벌공, 능글공, 순정공, 짝사랑공",Y,"장르 현대물 제거: 현대물, 학원물, 청게, 시대물 -> 학원물, 청게, 시대물 / 키워드 5개 제한: 첫사랑, 학원물, 동거, 상처, 계약, 달달물, 재회, 짝사랑, 신분차이, 구원 -> 첫사랑, 학원물, 동거, 상처, 계약"
노래방 플래시백,everlasting,2026-05-05,https://www.postype.com/@sorbet-abgb/post/22213214,X,X,everlasting 2026. 5. 5.  ·  그 이름마저 어찌 그댈까요 구독 노래방 플래시백 혚쾌 플래시백 다 부르고 둘이 했을거 같은 생각 노래방만 갔다가 헤어졌을리가 ..,글,"리얼물, 연예계물",비밀연애,,,,,"RPS, 아이돌물, 썰",,,,노래방에서 '플래시백'을 부른 후 혚과 쾌가 보냈을 밤에 대한 짧은 망상,노래방 플래시백 혚쾌 플래시백 다 부르고 둘이 했을거 같은 생각,"{""id"":""28"",""category"":""글"",""genres"":[""리얼물""],""keywords"":[""비밀연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""RPS"",""아이돌물"",""썰""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""노래방에서 '플래시백'을 부른 후 혚과 쾌가 보냈을 밤에 대한 짧은 망상"",""evidence"":""노래방 플래시백 혚쾌 플래시백 다 부르고 둘이 했을거 같은 생각"",""confidence"":0.8,""note"":""짧은 썰 형식의 포스트""}",0.8,2026-06-14 20:44,genre: 연예계물,,,,,,,,,
[혚쾌] Sober 上,HE,2026-05-05,https://www.postype.com/@sober-sz/post/22165970,X,O,HE 2026. 5. 5.  ·  sober [혚쾌] Sober 上 이승협 유회승 Becoming 강남에 이런 곳이 있었나. 철제 간판 한 켠에 보일듯 말듯 음각으로 새겨진 글자를,글,피폐물,"비밀연애, 상처, 오해, 원나잇, 질투","집착공, 능글공","상처수, 후회수",,,,,,,강남을 배경으로 한 성인 대상의 현대물 소설,강남에 이런 곳이 있었나,"{""id"":""29"",""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""강남을 배경으로 한 성인 대상의 현대물 소설"",""evidence"":""강남에 이런 곳이 있었나"",""confidence"":0.7,""note"":""미리보기 기준 분류""}",0.7,2026-06-14 20:45,,Y,Sober,上,완결,하편표기,Y,"장르: 현대물 -> 현대물, 피폐물 / 키워드: (빈칸) -> 비밀연애, 상처, 오해, 원나잇, 질투, 삼각관계 / 공: (빈칸) -> 집착공, 능글공 / 수: (빈칸) -> 상처수, 후회수",Y,"장르 현대물 제거: 현대물, 피폐물 -> 피폐물 / 키워드 5개 제한: 비밀연애, 상처, 오해, 원나잇, 질투, 삼각관계 -> 비밀연애, 상처, 오해, 원나잇, 질투"
햇살이 온다 5,220,2026-05-05,https://www.postype.com/@220thenight/post/22211151,X,X,220 2026. 5. 5.  ·  이 별에서 너가 가장 특별해 햇살이 온다 5 청게 혚쾌 18. 삼천 원. 겨우 삼천 원. 아니 겨우라고 하기에는 컵라면 두 개 값에 가까운 돈이,글,"청게, 학원물","학원물, 첫사랑, 상처, 잔잔물, 달달물","다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공","상처수, 까칠수, 굴림수, 순진수",,,,,,,채무 관계로 얽힌 두 고등학생의 미묘한 감정 변화를 다룬 청게물,"청게 혚쾌, 이승협한테 갚아야 할 돈, 발목은","{""id"":""30"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게""],""keywords"":[""학원물"",""상처""],""top"":[""다정공""],""bottom"":[""상처수"",""까칠수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""채무 관계로 얽힌 두 고등학생의 미묘한 감정 변화를 다룬 청게물"",""evidence"":""청게 혚쾌, 이승협한테 갚아야 할 돈, 발목은"",""confidence"":0.9,""note"":""본문 텍스트 기준 상세 분류""}",0.9,2026-06-14 20:45,,Y,햇살이 온다,5,완결,완결표기,Y,"장르: 현대물, 학원물, 청게 -> 청게, 학원물, 현대물 / 키워드: 학원물, 상처 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 / 공: 다정공 -> 다정공, 무심공, 재벌공, 계략공, 집착공, 까칠공 / 수: 상처수, 까칠수 -> 상처수, 까칠수, 굴림수, 순진수",Y,"장르 현대물 제거: 청게, 학원물, 현대물 -> 청게, 학원물 / 키워드 5개 제한: 학원물, 첫사랑, 상처, 잔잔물, 달달물, 일상물, 계약, 동거, 스폰서, 집착 -> 학원물, 첫사랑, 상처, 잔잔물, 달달물"
